source,detention_facility_code,name,address_full,address,city,state,latitude,longitude,zip,n_codings
team-geocoding,VALVETX,Val Verde Correctional Facility,"253 Farm To Market 2523, Del Rio, TX 78840",253 Farm To Market 2523,Del Rio,TX,29.37315993,-100.8478472,78840,4
hold,DLRHOLD,Del Rio Detention and Removal Operations Hold Room,"253 Fm 2523, Del Rio, Tx 78840",253 Fm 2523,Del Rio,TX,29.37326002,-100.8476796,78840,4
team-geocoding,ATLANGA,Atlanta Pretrial Detention Center,"254 Peachtree Street Southwest, Atlanta, GA 30303",254 Peachtree Street Southwest,Atlanta,GA,33.74728512,-84.39542925,30303,2
team-geocoding,CVANXCA,Central Valley Annex,"254 Taylor Avenue, Mcfarland, CA 93250",254 Taylor Avenue,Mcfarland,CA,35.66815665,-119.2289669,93250,2
hold,NYCHOLD,NYC Hold Room,"26 Federal Plaza 9th Floor, Suite 9-110, New York, Ny 10278","26 Federal Plaza 9th Floor, Suite 9-110",New York,NY,40.71571691,-74.00438162,10278,4
team-geocoding,PLYMOMA,Plymouth County Correctional Facility,"26 Long Pond Road, Plymouth, MA 02360",26 Long Pond Road,Plymouth,MA,41.93130887,-70.65133445,2360,3
team-geocoding,OTRPCNM,Otero County Processing Center,"26 Mcgregor Range Road, Chaparral, NM 88081",26 Mcgregor Range Road,Chaparral,NM,32.08037214,-106.2817264,88081,5
hold,DETHOLD,Detroit Hold Room,"260 Mt. Elliott, Detroit, Mi 48207",260 Mt. Elliott,Detroit,MI,42.34294627,-83.00924536,48207,2
team-geocoding,VWHMCAZ,Valleywise Health Medical Center,"2601 E Roosevelt St, Phoenix, AZ 85008",2601 E Roosevelt St,Phoenix,AZ,33.45754045,-112.025579,85008,4
team-geocoding,CITRUFL,Citrus County Jail,"2604 W. Woodland Ridge Dr., Lecanto, FL 34461",2604 W. Woodland Ridge Dr.,Lecanto,FL,28.84512779,-82.47693927,34461,4
team-geocoding,ADVHBCA,Adventist Health Bakersfield,"2615 Chester Avenue, Bakersfield, CA 93301",2615 Chester Avenue,Bakersfield,CA,35.38320895,-119.0205378,93301,3
hold,HBGHOLD,Harrisonburg Hold Room,"263 Neff Ave., Harrisonburg, Va 22801",263 Neff Ave.,Harrisonburg,VA,38.42707504,-78.84957336,22801,3
team-geocoding,RVRCCLA,River Correctional Center,"26362 Highway 15, Ferriday, LA 71334",26362 Highway 15,Ferriday,LA,31.59715294,-91.55822753,71334,3
team-geocoding,STRAFNH,Strafford County Corrections,"266 County Farm Road, Dover, NH 03820",266 County Farm Road,Dover,NH,43.21782859,-70.94013597,3820,2
team-geocoding,CHRLTFL,Charlotte County Jail,"26601 Airport Rd, Punta Gorda, FL 33982",26601 Airport Rd,Punta Gorda,FL,26.91495297,-82.00683319,33982,4
new,ALLEGVA,Alleghany County Jail,"268 West Main Street, Covington, VA 24426",268 West Main Street,Covington,VA,37.7927241,-79.99578035,24426,5
hold,SFDHOLD,Sioux Falls Hold Room,"2708 N. 1st Avenue, Sioux Falls, Sd 57104",2708 N. 1st Avenue,Sioux Falls,SD,43.57649692,-96.72352389,57104,2
team-geocoding,UPSLSIA,Unitypoint Health St Lukes Hospital Sxc,"2720 Stone Park Boulevard, Sioux City, IA 51104",2720 Stone Park Boulevard,Sioux City,IA,42.51900551,-96.40598748,51104,4
hold,CSDHOLD,Colo Springs Den HSI Hold,"2739 E Las Vegas St, Colorado Springs, Co 80906",2739 E Las Vegas St,Colorado Springs,CO,38.78740899,-104.779556,80906,6
hold,MANHOLD,Manchester Hold Room,"275 Chestnut Street, Manchester, Nh 03101",275 Chestnut Street,Manchester,NH,42.98871864,-71.46031827,3101,2
team-geocoding,BIDHPMA,Beth Israel Deaconess Hospital,"275 Sandwich St, Plymouth, MA 02360",275 Sandwich St,Plymouth,MA,41.94299198,-70.64528011,2360,4
hold,LSFHOLD,Los Fresnos Hold Room,"27991 Buena Vista Blvd, Los Fresnos, Tx 78566",27991 Buena Vista Blvd,Los Fresnos,TX,26.15577778,-97.33813889,78566,4
team-geocoding,RGS,Port Isabel Detention Center,"27991 Buena Vista Blvd, Los Fresnos, TX 78566",27991 Buena Vista Blvd,Los Fresnos,TX,26.15603231,-97.33778121,78566,5
team-geocoding,PIC,Port Isabel Service Processing Center,"27991 Buena Vista Blvd., Los Fresnos, TX 78566",27991 Buena Vista Blvd.,Los Fresnos,TX,26.15505562,-97.33831307,78566,3
team-geocoding,IAHSFTX,George Bush Intercontinental,"2800 N. Terminal Road, Houston, TX 77032",2800 N. Terminal Road,Houston,TX,29.98707572,-95.35055977,77032,3
team-geocoding,HCPSYTX,Harris County Psychiatric Center,"2800 S Macgregor Way, Houston, TX 77021",2800 S Macgregor Way,Houston,TX,29.71223932,-95.37435583,77021,2
hold,HELHOLD,Hel District Custody,"2800 Skyway Drive, Helena, Mt 59602",2800 Skyway Drive,Helena,MT,46.61228604,-111.9906212,59602,3
team-geocoding,DEKALAL,Dekalb County Detention Center,"2801 Jordan Road, Fort Payne, AL 35968",2801 Jordan Road,Fort Payne,AL,34.41817885,-85.77299638,35968,5
hold,MIAHOLD,Miami (Miramar) Hold Room,"2805 Sw 145th Avenue, Miramar, Fl 33027",2805 Sw 145th Avenue,Miramar,FL,25.98276732,-80.33940803,33027,6
team-geocoding,XXWICHI,Wichita County Jail,"2815 Central Fwy, Wichita Falls, TX 76302",2815 Central Fwy,Wichita Falls,TX,33.88454222,-98.44014177,76302,3
hold,MEMHOLD,Memphis Hold Room,"2833 Business Park Drive Building 1, Memphis, Tn 38118",2833 Business Park Drive Building 1,Memphis,TN,35.07180678,-89.965521,38118,3
team-geocoding,FRANKNC,Franklin County Detention Center,"285 T Kemp Rd, Louisburg, NC 27549",285 T Kemp Rd,Louisburg,NC,36.09447504,-78.31954212,27549,4
hold,WPOHOLD,Williamsport Hold Room,"2851 S Reach Rd, Williamsport, Pa 17701",2851 S Reach Rd,Williamsport,PA,41.22387787,-77.07078908,17701,3
team-geocoding,TELLECO,Teller County Jail,"288 Weaverville Road, Divide, CO 80814",288 Weaverville Road,Divide,CO,38.94302011,-105.1513653,80814,6
hold,FAYHOLD,Fayetteville Hold Room,"2887 N. Point Circle, Fayetteville, Ar 72701",2887 N. Point Circle,Fayetteville,AR,36.10466936,-94.17847944,72701,3
hold,BILHOLD,Billings Hold Room,"2900 4th Avenue Suite 205, Billings, Mt 59101",2900 4th Avenue Suite 205,Billings,MT,45.78387519,-108.5095612,59101,4
hold,AGAHOLD,Agana INS,"291 Chalan Pasaheru Suite 100, Tamuning, Gu 96913",291 Chalan Pasaheru Suite 100,Tamuning,GU,13.49405556,144.7983056,96913,3
team-geocoding,MADISMS,Madison County Detention Center,"2935 Highway 51, Canton, MS 39046",2935 Highway 51,Canton,MS,32.59324217,-90.0397719,39046,3
team-geocoding,KENMHNY,Kenmore Mercy Hospital,"2950 Elmwood Avenue, Kenmore, NY 14217",2950 Elmwood Avenue,Kenmore,NY,42.97766249,-78.87934353,14217,6
hold,SLCHOLD,Salt Lake City Hold Room,"2975 Decker Lake Drive Suite 100, West Valley City, Ut 84119",2975 Decker Lake Drive Suite 100,West Valley City,UT,40.7062262,-111.9463437,84119,4
new,DEPCOGU,Department of Corrections,"3 Mashburn Lane Off Dairy Rd, Mangilao, Gu 96913",3 Mashburn Lane Off Dairy Rd,Mangilao,GU,13.44905254,144.7869185,96913,5
team-geocoding,CBRRSNC,Cabarrus County Jail,"30 Corban Avenue Se, Concord, NC 28025",30 Corban Avenue Se,Concord,NC,35.40932859,-80.5779668,28025,3
team-geocoding,UHSHONY,Uhs Wilson Medical Center,"30 Harrison St, Johnson City, NY 13790",30 Harrison St,Johnson City,NY,42.11476098,-75.95951804,13790,3
hold,CBPHOLD,Buffalo USBP Hold Room,"300 Airborne Pkwy W #300, Cheektowaga, Ny 14225",300 Airborne Pkwy W #300,Cheektowaga,NY,42.93765609,-78.71391502,14225,5
hold,NRPHOLD,North Platte Hold Room,"300 E. 3rd Street Suite 110, North Platte, Ne 69101",300 E. 3rd Street Suite 110,North Platte,NE,41.13482698,-100.760386,69101,4
new,DILLSAF,Dilley Processing Single Female,"300 El Rancho Way, Dilley, TX 78017",300 El Rancho Way,Dilley,TX,28.65845409,-99.20087844,78017,4
team-geocoding,STFRCTX,South Texas Family Residential Center1,"300 El Rancho Way, Dilley, TX 78017",300 El Rancho Way,Dilley,TX,28.65785369,-99.20038782,78017,4
team-geocoding,TASTDTX,South Texas Family Residential Center,"300 El Rancho Way, Dilley, TX 78017",300 El Rancho Way,Dilley,TX,28.65783248,-99.20043079,78017,4
team-geocoding,CULBETX,Culberson County Sheriff's,"300 La Caverna, Van Horn, TX 79855",300 La Caverna,Van Horn,TX,31.04297641,-104.830544,79855,4
hold,TULHOLD,Tulsa Hold Room,"300 N Denver St, Tulsa, Ok 74103",300 N Denver St,Tulsa,OK,36.15715998,-95.99896997,74103,4
hold,LOSHOLD,Los Cust Case,"300 N. Los Angeles Street Room B17, Los Angeles, Ca 90012",300 N. Los Angeles Street Room B17,Los Angeles,CA,34.053742,-118.23961,90012,4
team-geocoding,TULCOOK,Tulsa County Jail (David L Moss Justice Center),"300 North Denver Avenue, Tulsa, OK 74103",300 North Denver Avenue,Tulsa,OK,36.15724099,-95.99931204,74103,2
team-geocoding,KENTOKY,Kenton County Detention Center,"3000 Decker Crane Lane, Covington, KY 41017",3000 Decker Crane Lane,Covington,KY,39.00247471,-84.53050924,41017,2
hold,PITHOLD,Pittsburgh Hold Room,"3000 Sidney Street Suite 100, Pittsburgh, Pa 15203",3000 Sidney Street Suite 100,Pittsburgh,PA,40.42482874,-79.96079956,15203,3
team-geocoding,CCRMHMN,Centracare Rice Memorial Hospital,"301 Becker Ave SW, Willmar, MN 56201",301 Becker Ave SW,Willmar,MN,45.11990989,-95.04560459,56201,5
team-geocoding,SSHNHNY,South Shore University Hospital,"301 E Main St, Bay Shore, NY 11706",301 E Main St,Bay Shore,NY,40.72575482,-73.24141704,11706,6
team-geocoding,CLINTIN,Clinton County Sheriff's Office,"301 E Walnut Street, Frankfort, IN 46041",301 E Walnut Street,Frankfort,IN,40.27934622,-86.50903267,46041,4
team-geocoding,CHASEKS,Chase County Jail,"301 South Walnut, Cottonwood Falls, KS 66845",301 South Walnut,Cottonwood Falls,KS,38.367077,-96.53842901,66845,4
hold,WNTHOLD,Wenatchee Hold Room,"301 Yakima St, Wenatchee, WA 98801",301 Yakima St,Wenatchee,WA,47.4205823,-120.3119796,98801,4
team-geocoding,LINCONE,Lincoln County Detention Center,"302 N Jeffers Street, North Platte, NE 69101",302 N Jeffers Street,North Platte,NE,41.13569388,-100.7639978,69101,4
team-geocoding,BOONEKY,Boone County Jail,"3020 Conrad Lane, Burlington, KY 41005",3020 Conrad Lane,Burlington,KY,39.03647808,-84.72845962,41005,2
team-geocoding,FIPCDGA,Folkston ICE Processing Center,"3026 Hwy 252 E, Folkston, GA 31537",3026 Hwy 252 E,Folkston,GA,30.87362191,-81.97934365,31537,2
team-geocoding,FIPCMGA,Folkston ICE Processing Center (Main),"3026 Hwy 252 E, Folkston, GA 31537",3026 Hwy 252 E,Folkston,GA,30.87210016,-81.98234889,31537,4
team-geocoding,BROWNWI,Brown County Jail,"3030 Curry Ln, Green Bay, WI 54311",3030 Curry Ln,Green Bay,WI,44.52205942,-87.93163593,54311,4
team-geocoding,INMIAMI,Miami Correctional Facility (Mcf),"3038 West 850s, Bunker Hill, IN 46914",3038 West 850s,Bunker Hill,IN,40.64428381,-86.1314789,46914,2
team-geocoding,GCPFCKS,Garden City Processing @ Finney County,"304 N. 9th St, Garden City, KS 67846",304 N. 9th St,Garden City,KS,37.96750455,-100.8761009,67846,4
team-geocoding,FINNEKS,Finney County Jail,"304 N. 9th Street, Garden City, KS 67846",304 N. 9th Street,Garden City,KS,37.96750455,-100.8761009,67846,4
team-geocoding,TITUSTX,Titus County Jail,"304 South Van Buren Avenue, Mount Pleasant, TX 75455",304 South Van Buren Avenue,Mount Pleasant,TX,33.15478716,-94.9709381,75455,2
team-geocoding,SENECOH,Seneca County Jail,"3040 South State Route 100, Tiffin, OH 44883",3040 South State Route 100,Tiffin,OH,41.07935461,-83.15365924,44883,2
team-geocoding,BSTAYTX,Baylor Scott White MD Center,"305 Mallard Ln, Taylor, TX 76574",305 Mallard Ln,Taylor,TX,30.59101955,-97.41537909,76574,3
team-geocoding,MINNESD,Minnehaha County Jail,"305 W 4th St, Sioux Falls, SD 57104",305 W 4th St,Sioux Falls,SD,43.55340744,-96.72992274,57104,2
team-geocoding,BOPCAA,US Penitentiary Canaan,"3057 Eric J. Williams Memorial Dr, Waymart, PA 18472",3057 Eric J. Williams Memorial Dr,Waymart,PA,41.5679172,-75.41206133,18472,3
team-geocoding,PENNISD,Pennington County Jail,"307 Saint Joseph St, Rapid City, SD 57701",307 Saint Joseph St,Rapid City,SD,44.07876386,-103.221489,57701,3
team-geocoding,UTAHCUT,Utah County Jail,"3075 North Main Street, Spanish Fork, UT 84660",3075 North Main Street,Spanish Fork,UT,40.14931516,-111.6592909,84660,3
hold,BALHOLD,Baltimore Hold Room,"31 Hopkins Plaza 6th Floor, Baltimore, Md 21201",31 Hopkins Plaza 6th Floor,Baltimore,MD,39.28809309,-76.61669655,21201,4
hold,MILHOLD,Milwaukee Hold Room,"310 East Knapp Street, Milwaukee, Wi 53202",310 East Knapp Street,Milwaukee,WI,43.04731452,-87.90803065,53202,3
team-geocoding,JHRWLTX,Jack Harwell Detention Center,"3101 Marlin Hwy, Waco, TX 76705",3101 Marlin Hwy,Waco,TX,31.54918377,-97.08131943,76705,4
team-geocoding,GRGBVTX,Georgetown Behavioral Hospital,"3101 S Austin Ave, Georgetown, TX 78626",3101 S Austin Ave,Georgetown,TX,30.61487888,-97.68066012,78626,4
team-geocoding,CROWGMN,Crow Wing County Jail,"313 Laurel Street, Brainerd, MN 56401",313 Laurel Street,Brainerd,MN,46.35660921,-94.20530053,56401,4
team-geocoding,DENICDF,Denver Contract Detention Facility (Aurora),"3130 North Oakland Street, Aurora, CO 80010",3130 North Oakland Street,Aurora,CO,39.76087267,-104.8491804,80010,3
team-geocoding,BIINCCO,"Bi Incororated, Geo Group Company","3130 Oakland St, Aurora, CO 80010",3130 Oakland St,Aurora,CO,39.76087267,-104.8491804,80010,4
team-geocoding,TACGHWA,Tacoma General Hospital,"315 Mlk Jr Way, Tacoma, WA 98405",315 Mlk Jr Way,Tacoma,WA,47.25977776,-122.4531703,98405,5
team-geocoding,OKMULOK,Okmulgee County Jail,"315 W 8th St, Okmulgee, OK 74447",315 W 8th St,Okmulgee,OK,35.62172157,-95.97443932,74447,3
team-geocoding,OHNORWE,Corrections Center of Northwest Ohio (Ccno),"3151 Co Rd 2425, Stryker, OH 43557",3151 Co Rd 2425,Stryker,OH,41.45886276,-84.35734202,43557,5
team-geocoding,YELLOMT,Yellowstone County Jail,"3165 King Avenue East, Billings, MT 59101",3165 King Avenue East,Billings,MT,45.75579292,-108.5009179,59101,5
from-manual,SNTRHNY,,"3186 S Maryland Pkwy, Las Vegas, NV 89109",3186 S Maryland Pkwy,Las Vegas,NV,36.13275003,-115.1358968,89109,4
hold,DURHOLD,Durango Hold Room,"32 Sheppard Drive, Durango, Co 81303",32 Sheppard Drive,Durango,CO,37.2371465,-107.8742502,81303,4
team-geocoding,MNTGMAL,Montgomery City Jail,"320 North Ripley Street, Montgomery, AL 36104",320 North Ripley Street,Montgomery,AL,32.38156183,-86.29775876,36104,4
team-geocoding,GRAYSKY,Grayson County Detention Center,"320 Shaw Station Road, Leitchfield, KY 42754",320 Shaw Station Road,Leitchfield,KY,37.48915122,-86.27020937,42754,4
team-geocoding,OKCIMMC,CoreCivic Cimarron Correctional Facility,"3200 S. Kings Hwy, Cushing, OK 74023",3200 S. Kings Hwy,Cushing,OK,35.94271099,-96.78172182,74023,3
team-geocoding,MCCLETX,Mclennan County Jail,"3201 E State Hwy 6, Waco, TX 76705",3201 E State Hwy 6,Waco,TX,31.54986931,-97.08035016,76705,4
hold,VENHOLD,Ventura Custody Case,"321 Cortez Circle, Camarillo, Ca 93012",321 Cortez Circle,Camarillo,CA,34.21409975,-118.9948304,93012,3
team-geocoding,PALMBFL,Palm Beach County Jail,"3228 Gun Club Road, West Palm Beach, FL 33406",3228 Gun Club Road,West Palm Beach,FL,26.67176572,-80.09248303,33406,3
team-geocoding,RONKEVA,Roanoke City Jail,"324 Campbell Ave SW, Roanoke, VA 24016",324 Campbell Ave SW,Roanoke,VA,37.2711437,-79.9466271,24016,3
hold,KNXHOLD,Knoxville Hold Room,"324 Prosperity Drive, Knoxville, Tn 37923",324 Prosperity Drive,Knoxville,TN,35.92320036,-84.07938959,37923,4
team-geocoding,CHIPPMI,Chippewa County Correctional Facility,"325 Court Street, Sault Sainte Marie, MI 49783",325 Court Street,Sault Sainte Marie,MI,46.49743168,-84.34560789,49783,5
team-geocoding,FLO,Florence Service Processing Center,"3250 N. Pinal Parkway, Florence, AZ 85132",3250 N. Pinal Parkway,Florence,AZ,33.0642139,-111.38242,85132,2
team-geocoding,FSF,Florence Staging Facility,"3250 North Pinal Parkway, Florence, AZ 85132",3250 North Pinal Parkway,Florence,AZ,33.06411191,-111.3805116,85132,6
team-geocoding,BRLHOAK,Bartlett Regional Hospital,"3260 Hospital Dr, Juneau, AK 99801",3260 Hospital Dr,Juneau,AK,58.32899842,-134.4646689,99801,3
team-geocoding,JKPCCLA,Jackson Parish Correctional Center,"327 Industrial Drive, Jonesboro, LA 71251",327 Industrial Drive,Jonesboro,LA,32.21524643,-92.71586213,71251,8
team-geocoding,BLOJVTN,Blount County Juvenile Detention Center,"329 Court St, Maryville, TN 37804",329 Court St,Maryville,TN,35.75459515,-83.96930017,37804,4
team-geocoding,MARIOFL,Marion County Jail,"3290 Nw 10th St, Ocala, FL 34475",3290 Nw 10th St,Ocala,FL,29.19503591,-82.17477409,34475,3
team-geocoding,MSF,Miami Staging Facility,"33 Ne 4th St, Miami, FL 33132",33 Ne 4th St,Miami,FL,25.77846074,-80.19313158,33132,5
team-geocoding,BOPMIM,Fdc Miami,"33 Ne 4th Street, Miami, FL 33132",33 Ne 4th Street,Miami,FL,25.77846074,-80.19313158,33132,3
team-geocoding,BOPMCR,McCreary US Penitentiary,"330 Federal Way, Pine Knot, KY 42635",330 Federal Way,Pine Knot,KY,36.68663433,-84.38791446,42635,3
team-geocoding,BOPLEX,Lexinton Federal Medical Center,"3301 Leestown Road, Lexington, KY 40511",3301 Leestown Road,Lexington,KY,38.10463085,-84.56012963,40511,2
hold,SXCHOLD,Sioux City Hold Room,"3301 Singing Hills Boulevard Suite B, Sioux City, Ia 51106",3301 Singing Hills Boulevard Suite B,Sioux City,IA,42.43673725,-96.36555217,51106,3
team-geocoding,DVCSDKY,Daviess County Detention Center,"3337 Highway 144, Owensboro, KY 42303",3337 Highway 144,Owensboro,KY,37.78675411,-87.07085722,42303,3
team-geocoding,COLLIFL,Collier County Naples Jail Center,"3347 Tamiami Trail E, Naples, FL 34112",3347 Tamiami Trail E,Naples,FL,26.12969965,-81.76343194,34112,2
team-geocoding,OKMHKTX,Otto Kaiser Memorial Hospital,"3349 S Highway 181, Kenedy, TX 78119",3349 S Highway 181,Kenedy,TX,28.85004667,-97.87839944,78119,4
hold,CRIHOLD,Cedar Rapids Hold Room,"3351 Square D Drive Sw, Cedar Rapids, Ia 52404",3351 Square D Drive Sw,Cedar Rapids,IA,41.94200342,-91.68092912,52404,4
team-geocoding,CASSCNE,Cass County Jail,"336 Main Street, Plattsmouth, NE 68048",336 Main Street,Plattsmouth,NE,41.01179494,-95.88295697,68048,3
team-geocoding,AKMATSU,"Matsu Pretrial, Palmer AK","339 E. Dogwood, Palmer, AK 99645",339 E. Dogwood,Palmer,AK,61.6023381,-149.1094552,99645,4
hold,SAAHOLD,Santa Ana Detention and Removal Operations Hold Room,"34 Civic Center Plaza Room 1027, Santa Ana, Ca 92701",34 Civic Center Plaza Room 1027,Santa Ana,CA,33.74855732,-117.8751141,92701,3
team-geocoding,POLKCTX,Iah Polk Adult Detention Facility,"3400 Fm 350 South, Livingston, TX 77351",3400 Fm 350 South,Livingston,TX,30.69789175,-95.00594905,77351,4
team-geocoding,YORCOPA,York County Prison,"3401 Concord Road, York, PA 17402",3401 Concord Road,York,PA,39.98573989,-76.66609663,17402,4
team-geocoding,OLDHAKY,Oldham County Detention Center,"3405 West Highway 146, La Grange, KY 40031",3405 West Highway 146,La Grange,KY,38.38935908,-85.42367734,40031,6
team-geocoding,SLSLCUT,Salt Lake County Metro Jail,"3415 South 900 West, Salt Lake City, UT 84119",3415 South 900 West,Salt Lake City,UT,40.69691294,-111.9155301,84119,4
team-geocoding,FIPCAGA,Folkston ICE Processing Center (Annex),"3424 Hwy 252 E, Folkston, GA 31537",3424 Hwy 252 E,Folkston,GA,30.8712568,-81.98107709,31537,3
team-geocoding,ADDCOVT,Addison County Jail,"35 Court Street, Middlebury, VT 05753",35 Court Street,Middlebury,VT,44.01144984,-73.16365678,5753,4
team-geocoding,HUDSONJ,Hudson County Jail,"35 Hackensack Ave., Kearny, NJ 07032",35 Hackensack Ave.,Kearny,NJ,40.72807538,-74.10842526,7032,2
team-geocoding,STJOSAZ,St Joseph's Hospital & Medical Center,"350 West Thomas Rd, Phoenix, AZ 85013",350 West Thomas Rd,Phoenix,AZ,33.48092072,-112.0792416,85013,3
team-geocoding,CCHRTTX,Cedar Crest Hospital Treat,"3500 I-35 Frontage Rd, Belton, TX 76513",3500 I-35 Frontage Rd,Belton,TX,31.0214428,-97.47648886,76513,5
hold,STUHOLD,Stuart Hold Room,"3500 Se Comerce Ave, Stuart, Fl 34997",3500 Se Comerce Ave,Stuart,FL,27.16264739,-80.22172729,34997,4
team-geocoding,MEMRHFL,Memorial Regional Hospital,"3501 Johnson St, Hollywood, FL 33021",3501 Johnson St,Hollywood,FL,26.01965398,-80.180432,33021,5
hold,LBKHOLD,Lubbock Hold Room,"3502 N Holly Ave, Lubbock, Tx 79403",3502 N Holly Ave,Lubbock,TX,33.63233333,-101.7958889,79403,3
team-geocoding,LUBBOTX,Lubbock County Detention Center,"3502 N Holly Ave, Lubbock, TX 79403",3502 N Holly Ave,Lubbock,TX,33.63257513,-101.7955856,79403,3
team-geocoding,BOPHON,"Federal Detention Center, Honolulu (Fdc Honolulu)","351 Elliott Street, Honolulu, HI 96819",351 Elliott Street,Honolulu,HI,21.33362931,-157.9283142,96819,3
hold,SNAHOLD,San Antonio Detention and Removal Operations Hold Room,"3523 Crosspoint Drive, San Antonio, Tx 78217",3523 Crosspoint Drive,San Antonio,TX,29.54375024,-98.4289065,78217,3
team-geocoding,ESSEXNJ,Essex County Jail,"354 Doremus Avenue, Newark, NJ 07105",354 Doremus Avenue,Newark,NJ,40.72104059,-74.12687828,7105,4
team-geocoding,WVPTMAC,Potomac Highlands Regional Jail,"355 Dolan Drive, Augusta, WV 26704",355 Dolan Drive,Augusta,WV,39.30234778,-78.64697463,26704,3
team-geocoding,DVHSPNV,Desert View Hospital,"360 South Lola Lane, Pahrump, NV 89048",360 South Lola Lane,Pahrump,NV,36.21454178,-116.024896,89048,3
team-geocoding,HCAFMFL,HCA Florida Memorial Hospital,"3625 University Blvd S, Jacksonville, FL 32216",3625 University Blvd S,Jacksonville,FL,30.28875772,-81.60115746,32216,4
team-geocoding,NWSCFVT,Northwest State Correctional Facility,"3649 Lower Newton Road, Swanton, VT 05488",3649 Lower Newton Road,Swanton,VT,44.85044608,-73.13328077,5488,4
team-geocoding,VTSTALB,Northwest State Correctional Center,"3649 Lower Newton Road, Swanton, VT 05488",3649 Lower Newton Road,Swanton,VT,44.85044608,-73.13328077,5488,2
team-geocoding,URSLATX,Ursula Centralized Processing Center,"3700 W Ursula Ave, McAllen, TX 78503",3700 W Ursula Ave,McAllen,TX,26.15905836,-98.27020363,78503,3
team-geocoding,BIMDCAZ,Banner Ironwood Medical Center,"37000 N Gantzel Rd, Queen Creek, AZ 85140",37000 N Gantzel Rd,Queen Creek,AZ,33.21459325,-111.5655306,85140,4
team-geocoding,WOODBIA,Woodbury County Jail,"3701 28th St, Sioux City, IA 51105",3701 28th St,Sioux City,IA,42.52061602,-96.35358368,51105,4
team-geocoding,CNTGRIL,Northwestern Medicine Woodstock Hospital,"3701 Doty St, Woodstock, IL 60098",3701 Doty St,Woodstock,IL,42.27548004,-88.40086099,60098,3
hold,YAKHOLD,Yakima Sub-Office,"3701 River Road, Yakima, Wa 98902",3701 River Road,Yakima,WA,46.61861971,-120.558072,98902,2
team-geocoding,CHAVENM,Chavez Detention Center,"3701 S Atkinson Ave, Roswell, NM 88203",3701 S Atkinson Ave,Roswell,NM,33.35126736,-104.5055643,88203,4
hold,MEDHOLD,Medford Sub-Office,"3715 International Way, Medford, Or 97504",3715 International Way,Medford,OR,42.37316605,-122.8666184,97504,3
team-geocoding,HENDENC,Henderson County Detention Facility,"375 1st Avenue East, Hendersonville, NC 28792",375 1st Avenue East,Hendersonville,NC,35.3158728,-82.45598946,28792,4
hold,FRDHOLD,Frederick Hold Room,"3770 Puritan Way Unit J, Frederick, Co 80516",3770 Puritan Way Unit J,Frederick,CO,40.08193501,-104.985039,80516,2
team-geocoding,BOPPHX,Phoenix Federal Correctional Inst,"37900 N 45th Ave, Phoenix, AZ 85086",37900 N 45th Ave,Phoenix,AZ,33.83242985,-112.1619896,85086,2
team-geocoding,CASCAMT,"Cascade County Jail, MT","3800 Ulm North Frontage Road, Great Falls, MT 59404",3800 Ulm North Frontage Road,Great Falls,MT,47.46905431,-111.3676879,59404,2
team-geocoding,COXMEMO,Coxhealth Medical Center South,"3801 South National Ave., Springfield, MO 65807",3801 South National Ave.,Springfield,MO,37.14577927,-93.27913576,65807,4
hold,TXAHOLD,Texarkana Hold Room,"3822 Airport Plaza, Texarkana, Ar 71854",3822 Airport Plaza,Texarkana,AR,33.45803218,-94.00108635,71854,4
team-geocoding,CHARLSC,Sheriff Al Cannon Detention Center,"3841 Leeds Ave, North Charleston, SC 29405",3841 Leeds Ave,North Charleston,SC,32.84545105,-80.01354428,29405,3
team-geocoding,BASILLA,South Louisiana ICE Processing Center,"3843 Stagg Ave, Basile, LA 70515",3843 Stagg Ave,Basile,LA,30.48171312,-92.58121682,70515,3
team-geocoding,ORANGFL,Orange County Jail (FL),"3855 South John Young Parkway, Orlando, FL 32839",3855 South John Young Parkway,Orlando,FL,28.50352437,-81.41685299,32839,4
hold,SGUHOLD,"St George, UT Hold Room","389 N. Industrial Road Suite 4, St. George, Ut 84770",389 N. Industrial Road Suite 4,St. George,UT,37.11495142,-113.5610635,84770,2
team-geocoding,COLUMFL,Columbia County Jail,"389 Nw Quinten St, Lake City, FL 32025",389 Nw Quinten St,Lake City,FL,30.22030783,-82.64355617,32025,3
team-geocoding,WCCPBFL,Broward Transitional Center,"3900 N. Powerline Road, Pompano Beach, FL 33073",3900 N. Powerline Road,Pompano Beach,FL,26.27717618,-80.15089668,33073,3
hold,YUMHOLD,Yuma Hold Room,"3911 S Pico Ave., Yuma, Az 85365",3911 S Pico Ave.,Yuma,AZ,32.65653318,-114.6117802,85365,2
hold,CHLHOLD,"Charleston, SC Hold Room","3950 Faber Place Drive, North Charleston, Sc 29405",3950 Faber Place Drive,North Charleston,SC,32.84643027,-80.01972811,29405,5
team-geocoding,NWHNVNC,New Hanover County Jail,"3950 Juvenile Center Rd, Castle Hayne, NC 28429",3950 Juvenile Center Rd,Castle Hayne,NC,34.32703364,-77.89565863,28429,2
team-geocoding,STJONFL,St John's County Jail,"3955 Lewis Speedway St., Saint Augustine, FL 32084",3955 Lewis Speedway St.,Saint Augustine,FL,29.94029975,-81.33880221,32084,2
