idnInmate	Strcity	Strcode	Strdescription	datCreatedOn	datModifiedOn	blnActive
1323	BUF	ULS	ULSTER CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1324	BUF	WAL	WALLKILL CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1325	BUF	WAS	WASHINGTON CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1326	BUF	WAT	WATERTOWN CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1327	BUF	WEN	WENDE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1328	BUF	WMD	WALSH MEDICAL C/O MOHAWK CF	2003-08-10 11:23:16.927		0
1329	BUF	WOO	WOODBRIDGE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1330	BUF	WYO	WYOMING CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1331	CHI	ACC	ABODE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1332	CHI	ADR	ADRIAN TEMPORARY FACILITY	2003-08-10 11:23:16.927		0
1333	CHI	ALG	ALGOA CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
1334	CHI	ALL	ALLEN CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1335	CHI	BCC	BOONEVILLE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1336	CHI	BCI	BELMONT CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
2051	CHI	BKR	INDIANA DOC/BUNKER HILL FACILITY                  	2005-03-05 14:50:58.890		1
1337	CHI	BMC	BIG MUDDY CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
1338	CHI	BRF	BLACK RIVERS FALL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		1
1339	CHI	BRO	BROOKS REGIONAL FACILITY	2003-08-10 11:23:16.927		0
1340	CHI	BTC	BRANCHVILLE TRAINING CENTER	2003-08-10 11:23:16.927		0
2052	CHI	BUN	INDIANA DEPARTMENT OF CORRECTIONS                 	2005-03-05 14:50:58.890		1
1341	CHI	CAR	CARSON CITY CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1342	CHI	CCC	CROSSROADS CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
1343	CHI	CCM	MOBERLY CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1344	CHI	CEF	CHARLES EGELER CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1345	CHI	CEN	CENTRALIA CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1346	CHI	CHI	CHILLICOTHE  CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
1347	CHI	CIC	CORRECTIONAL INDUSTRIAL COMPLEX	2003-08-10 11:23:16.927		0
1348	CHI	CLA	CLARINDA CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1349	CHI	CMC	CORRECTIONS MEDICAL CENTER	2003-08-10 11:23:16.927		0
1350	CHI	COL	COLUMBIA CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		1
1351	CHI	COR	CORRECTIONAL RECEPTION CENTER	2003-08-10 11:23:16.927		0
1352	CHI	CPO	CAMP OJIBWAY	2003-08-10 11:23:16.927		0
1353	CHI	CRO	ST. CROIX CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1354	CHI	CTC	CHIPPEWA TEMPOARY CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1355	CHI	DAN	DANVILLE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1356	CHI	DCI	DAYTON CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
1357	CHI	DCS	DEPARTMENT OF CORRECTIONAL SERVICES	2003-08-10 11:23:16.927		0
2053	CHI	DEC	DECATUR  CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		1
1358	CHI	DIS	DIVISION OF INTENSIVE SANCTIONS	2003-08-10 11:23:16.927		0
1359	CHI	DIX	DIXON CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1360	CHI	DOD	DODGE CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1361	CHI	DUN	DUNES CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1362	CHI	DWI	DWIGHT CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1363	CHI	EAS	EAST MOLINE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1364	CHI	ECF	ELLSWORTH CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1365	CHI	EGC	EGELER CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1366	CHI	ELD	EL DORADO CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1367	CHI	EMC	EASTERN MISSOURI CORRECTIONAL CTR.	2003-08-10 11:23:16.927		0
1368	CHI	ENG	ENGLER CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1369	CHI	FC	FEDERAL CORRECTIONAL	2003-08-10 11:23:16.927		0
1370	CHI	FCC	FARMINGTON CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1371	CHI	FCI	FOX LAKE CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1372	CHI	FRD	FULTON RECEPTION AND DIAGNOSTIC CENTER	2003-08-10 11:23:16.927		0
1373	CHI	FTH	FEDERAL CORRECTIONAL - TERRE HAUTE	2003-08-10 11:23:16.927		0
1374	CHI	GCC	GALESBURG CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1375	CHI	GFT	GRAFTON CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1376	CHI	GRA	GRAHAM CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1377	CHI	GRE	GREEN BAY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1378	CHI	GUS	GUS HARRISON FACILITY	2003-08-10 11:23:16.927		0
1379	CHI	HAS	HASTINGS CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1380	CHI	HCC	HILL CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1381	CHI	HCF	HUTCHINSON CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1382	CHI	HCK	HOCKING CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1383	CHI	HCW	HUTCHINSON CORRECTIONAL WORK FACILITY	2003-08-10 11:23:16.927		0
1384	CHI	HIA	HIAWATHA TEMPORARY FACILITY	2003-08-10 11:23:16.927		0
1385	CHI	ICD	IOWA DEPARTMENT OF CORRECTIONS	2003-08-10 11:23:16.927		0
1386	CHI	ICW	IOWA CORRECTIONAL INSTITUTE FOR WOMEN	2003-08-10 11:23:16.927		0
1387	CHI	IDC	IOWA DEPARTMENT OF CORRECTIONS-WORK RELEASE CENTER	2003-08-10 11:23:16.927		0
1388	CHI	IMA	IOWA MEDICAL AND CLASSIFICATION CENTER	2003-08-10 11:23:16.927		0
1389	CHI	IMR	IOWA MEN'S REFORMATORY	2003-08-10 11:23:16.927		0
1390	CHI	IND	INDIANA STATE PRISON	2003-08-10 11:23:16.927		0
1391	CHI	ION	IONIA CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1392	CHI	IRC	ILLINOIS RIVER CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1393	CHI	ISF	INDIANA STATE FARM	2003-08-10 11:23:16.927		0
1394	CHI	ISP	INDIANA STATE PRISON	2003-08-10 11:23:16.927		0
1395	CHI	ISR	INDIANA STATE REFORMATORY	2003-08-10 11:23:16.927		0
1396	CHI	IWP	INDIANA WOMEN'S PRISON	2003-08-10 11:23:16.927		0
1397	CHI	IYC	INDIANA YOUTH CENTER	2003-08-10 11:23:16.927		0
1398	CHI	JAC	JACKSON STATE PRISON - CENTRAL	2003-08-10 11:23:16.927		0
1399	CHI	JAK	JACKSONVILLE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1400	CHI	JBC	C/O JOHN BENNET CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1401	CHI	JCC	JEFFERSON CITY CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1402	CHI	JCF	JACKSON COTTON FACILITY	2003-08-10 11:23:16.927		0
1403	CHI	JCI	JACKSON CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1404	CHI	JOL	JOLIET CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1405	CHI	KCC	KENOSHA CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1406	CHI	KCF	KINROSS CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1407	CHI	KEN	KENT COUNTY CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1408	CHI	KMC	KETTLE MORAINE CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1409	CHI	KSC	KANSAS STATE CORRECTION INSTITUTION	2003-08-10 11:23:16.927		0
1410	CHI	KSI	KANSAS STATE INDUSTRIAL REFORMATORY	2003-08-10 11:23:16.927		0
1411	CHI	LAK	METROPOLITAN CORRECTIONAL FACILITY/LINO LAKES	2003-08-10 11:23:16.927		1
2054	CHI	LAW	LAWRENCE CORRECTIONAL FACILITY                    	2005-03-05 14:50:58.890		1
1412	CHI	LCC	LINCOLN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1413	CHI	LCF	LANSING CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1414	CHI	LCI	LORAIN CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1415	CHI	LEB	LEBANON CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
1416	CHI	LEV	UNITED STATES PENITENTIARY LEAVENWORTH	2003-08-10 11:23:16.927		0
1417	CHI	LEX	FEDERAL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1418	CHI	LIM	LIMA CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
1419	CHI	LIN	LINCOLN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
1420	CHI	LKC	LAKESIDE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1421	CHI	LLC	LAKELAND CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1422	CHI	LOG	LOGAN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1423	CHI	LON	LONDON CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
1424	CHI	MAD	MADISON CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
1425	CHI	MAQ	MARQUETTE BRANCH PRISON	2003-08-10 11:23:16.927		0
1426	CHI	MAR	MARION CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		1
1427	CHI	MCB	MACOMB REGIONAL FACILITY	2003-08-10 11:23:16.927		0
1428	CHI	MCC	MOBERLY CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1429	CHI	MCF	MINNESOTA CORRECTIONAL FACILITY - STILLWATER	2003-08-10 11:23:16.927		1
1430	CHI	MDC	METROPOLITAN DETENTION CENTER	2003-08-10 11:23:16.927		0
1431	CHI	MEC	MISSOURI EASTERN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		1
1432	CHI	MEN	MENARD	2003-08-10 11:23:16.927		0
1433	CHI	MFF	MINNESOTA CORRECTIONAL FACILITY - FARIBAULT	2003-08-10 11:23:16.927		1
1434	CHI	MLK	METROPOLITAN CORRECTIONAL FACILITY/MOOSE LAKE	2003-08-10 11:23:16.927		1
1435	CHI	MLL	MINNESOTA CORRECTIONAL FACILITY-LINO LAKES	2003-08-10 11:23:16.927		1
1436	CHI	MML	MINNESOTA CORRECTIONAL FACILITY - MOOSE LAKE	2003-08-10 11:23:16.927		1
1437	CHI	MNS	MANSFIELD CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1438	CHI	MON	MONTGOMERY EDUCATION AND PRE-RELEASE CENTER	2003-08-10 11:23:16.927		0
1439	CHI	MOP	MINNESOTA CORRECTIONAL FACILITY-OAK PARK HEIGHTS	2003-08-10 11:23:16.927		1
1440	CHI	MOU	MOUND REGIONAL FACILITY	2003-08-10 11:23:16.927		0
1441	CHI	MPI	MOUNT PLEASANT CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1442	CHI	MRD	MENARD PSYCH CENTER	2003-08-10 11:23:16.927		0
1443	CHI	MRF	MOUND REGIONAL FACILITY	2003-08-10 11:23:16.927		0
1444	CHI	MSA	MINNESOTA CORRECTIONAL FACILITY - ST. CLOUD	2003-08-10 11:23:16.927		1
1445	CHI	MSP	STATE PRISON OF SOUTHERN MICHIGAN	2003-08-10 11:23:16.927		0
1446	CHI	MTA	MINNESOTA CORRECTIONAL FACILITY - SHAKOPEE	2003-08-10 11:23:16.927		1
1447	CHI	MTP	MT. PLEASANT CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1448	CHI	MTU	MICHIGAN TRAINING UNIT	2003-08-10 11:23:16.927		0
1449	CHI	MUS	MUSKEGON CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1450	CHI	NCC	NORTH CENTRAL CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1451	CHI	NCF	NORTON CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1452	CHI	NCI	NORTH CENTRAL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1453	CHI	NCW	NEBRASKA CENTER FOR WOMEN	2003-08-10 11:23:16.927		0
1454	CHI	NDC	NEBRASKA DEPARTMENT OF CORRECTIONAL SERVICE	2003-08-10 11:23:16.927		0
1455	CHI	NDE	NEBRASKA DIAGNOSTIC & EVALUATION CENTER	2003-08-10 11:23:16.927		0
1456	CHI	NMC	NORTHEAST MISSOURI CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1457	CHI	NOC	NOBLE CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1458	CHI	NSP	NEBRASKA STATE PENITENTIARY	2003-08-10 11:23:16.927		0
2055	CHI	NWL	NEW LIBSON CORRECTIONAL INSTITUTION               	2005-03-05 14:50:58.890		1
1459	CHI	OAK	OAKWOOD FORENSIC CENTER DEPT OF MENTAL HEALTH	2003-08-10 11:23:16.927		0
1460	CHI	OC	OMAHA CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1461	CHI	OCC	OMAHA CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1462	CHI	OCI	OAKHILL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1463	CHI	OCJ	OUTAGAMIE COUNTY JAIL	2003-08-10 11:23:16.927		0
1464	CHI	OHS	OHIO STATE REFORMATORY	2003-08-10 11:23:16.927		0
1465	CHI	OHW	OHIO STATE REFORMATORY FOR WOMEN	2003-08-10 11:23:16.927		0
1466	CHI	OKS	OAKS MAXIMUM FACILITY	2003-08-10 11:23:16.927		0
1467	CHI	OMC	OMAHA CORRECTIONS CENTER	2003-08-10 11:23:16.927		0
1468	CHI	OPH	METROPOLITAN CORRECTION FACILITY/OAK PARK HEIGHTS	2003-08-10 11:23:16.927		1
1469	CHI	ORE	OREGON CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1470	CHI	ORI	ORIENT CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1471	CHI	OSH	OSHKOSH CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1472	CHI	OSK	OSKOSH CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1473	CHI	PCC	PONTIAC CORRECTIONAL CENTER - MICHIGAN	2003-08-10 11:23:16.927		0
1474	CHI	PCF	PRAIRIE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1475	CHI	PEN	PENDLETON STATE REFORMATORY	2003-08-10 11:23:16.927		0
1476	CHI	PIC	PICKAWAY  CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
1477	CHI	PIN	PINCKENYVILLE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1478	CHI	PON	PONTIAC CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1479	CHI	PUT	PUTNAMVILLE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1480	CHI	RCF	RIVERSIDE CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1481	CHI	RCI	RACINE CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1482	CHI	RDC	RECEPTION DIAGNOSTIC CENTER	2003-08-10 11:23:16.927		0
2056	CHI	RED	REDGRANITE CORRECTIONAL INSTITUTION               	2005-03-05 14:50:58.890		1
1483	CHI	ROB	ROBINSON CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1484	CHI	ROS	ROSS CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
1485	CHI	RTC	ROCKVILLE TRAINING CENTER	2003-08-10 11:23:16.927		0
1486	CHI	RYN	RYAN REGIONAL CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1487	CHI	SAG	SAGINAW REGIONAL FACILITY	2003-08-10 11:23:16.927		0
1488	CHI	SAN	FED. CORR. INSTITUTION - MR. STEVE DALESSIO	2003-08-10 11:23:16.927		0
1489	CHI	SCI	STATE CORRECTIONAL INSTITUTION AT CAMP HILL	2003-08-10 11:23:16.927		0
1490	CHI	SCT	SCOTT CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1491	CHI	SDS	SOUTH DAKOTA STATE PENITENTIARY	2003-08-10 11:23:16.927		1
1492	CHI	SEA	SOUTHEASTERN CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1493	CHI	SEC	SECURITY MEDICAL FACILITY	2003-08-10 11:23:16.927		0
1494	CHI	SHA	SHAWNEE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1495	CHI	SHE	SHERIDAN CORRECTOINAL CENTER	2003-08-10 11:23:16.927		0
1496	CHI	SHP	METROPOLITAN CORRECTIONAL FACILITY/SHAKOPEE	2003-08-10 11:23:16.927		1
1497	CHI	SOL	SOUTHERN OHIO CORRECTIONAL FAC. "LUCASVILLE"	2003-08-10 11:23:16.927		0
1498	CHI	SOU	SOUTHEASTERN CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
2057	CHI	SPR	ST. PETER REGIONAL TREATMENT CENTER               	2005-03-05 14:50:58.890		1
1499	CHI	SRW	STATE REFORMATORY FOR WOMEN	2003-08-10 11:23:16.927		0
1500	CHI	SSN	SPECIAL SERVICES STATE OF NEBRASKA	2003-08-10 11:23:16.927		0
1501	CHI	STA	STATEVILLE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1502	CHI	STC	METROPOLITAN CORRECTIONAL FACILITY/ST. CLOUD	2003-08-10 11:23:16.927		1
2058	CHI	STL	STANLEY CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		1
1503	CHI	SWC	SOUTHWESTERN CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1504	CHI	TAC	TACHEEDAH CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1505	CHI	TAY	TAYCHEEDAH CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1506	CHI	TCC	TAYLORVILLE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1507	CHI	TCF	TOPEKA CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1508	CHI	TCI	TRUMBULL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1509	CHI	THU	THUMB CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1510	CHI	TOP	RECEPTION & DIAGNOSTIC CENTER	2003-08-10 11:23:16.927		0
1511	CHI	TRU	TRUMBAL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1512	CHI	USP	UNITED STATES PENITENTARY	2003-08-10 11:23:16.927		0
1513	CHI	VAN	VANDALIA CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1514	CHI	VIE	VIENNA CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1515	CHI	WAB	WABASH VALLEY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1516	CHI	WAR	WARREN CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1517	CHI	WAU	WAUPAN CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
1518	CHI	WCC	WISCONSIN CORRECTIONAL CENTER SYSTEM	2003-08-10 11:23:16.927		0
1519	CHI	WCJ	WALWORTH COUNTY JAIL	2003-08-10 11:23:16.927		0
1520	CHI	WER	WOMENS' EASTERN RECEPTION & DIAGNOSTIC CENTER	2003-08-10 11:23:16.927		0
1521	CHI	WES	WESTVILLE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1522	CHI	WHC	WARDEN HILL CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1523	CHI	WIC	WESTERN ILLINOIS CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1524	CHI	WIN	WINFIELD CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
1525	CHI	WIS	WISCONSIN PRISON SYS.	2003-08-10 11:23:16.927		0
1526	CHI	WM1	WESTERN MISSOURI CORECTIONAL CENTER	2003-08-10 11:23:16.927		0
1527	CHI	WMC	WESTERN MISSOURI CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
1528	CHI	WRC	WISCONSIN RESOURCE CENTER	2003-08-10 11:23:16.927		0
3739	CHL	AIK	AIKEN CORRECTIONAL CENTER                         	2005-03-05 14:50:58.890		0
3740	CHL	ALA	KILBY CORRECTIONS FACILITY	2003-08-10 11:23:16.927		0
3741	CHL	ALB	ALBANY TRANSITIONAL CENTER                        	2005-03-05 14:50:58.890		0
3742	CHL	ALD	ALDERSON FEDERAL CORRECTIONAL INSTITUTE           	2005-03-05 14:50:58.890		0
3743	CHL	ALL	ALLENDALE CORRECTINAL INSTITUTION	2003-08-10 11:23:16.927		0
3744	CHL	ALW	LFCI ALLENWOOD                                    	2005-03-05 14:50:58.890		0
3745	CHL	AND	ANDERSON COUNTY JAIL	2003-08-10 11:23:16.927		0
3746	CHL	ANS	ANSON CORRECTIONAL CENTER                         	2005-03-05 14:50:58.890		0
3747	CHL	ARR	ARRENDALE C.I.,                                   	2005-03-05 14:50:58.890		0
3748	CHL	AUG	AUGUSTA                                           	2005-03-05 14:50:58.890		0
3749	CHL	AUT	AUTRY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
3750	CHL	BAS	BASKERVILLE CORRECTIONAL UNIT                     	2005-03-05 14:50:58.890		0
3751	CHL	BAY	BAYAMON REGIONAL JAIL	2003-08-10 11:23:16.927		0
3752	CHL	BBW	BLACK BLUFF WARDEN                                	2005-03-05 14:50:58.890		0
3753	CHL	BCI	BURESS C.I.	2003-08-10 11:23:16.927		0
3754	CHL	BCN	BLANCH YOUTH INSTITUTION                          	2005-03-05 14:50:58.890		0
3755	CHL	BDR	BROAD RIVER CORRECTIONAL INSTITUTION              	2005-03-05 14:50:58.890		0
3756	CHL	BLA	BLAND CORRECTIONAL CENTER                         	2005-03-05 14:50:58.890		0
3757	CHL	BOS	BOSTICK CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		0
3758	CHL	BOT	BOTECOURT CORRECTIONAL FACILITY                   	2005-03-05 14:50:58.890		0
3759	CHL	BRE	BROAD RIVER RECEPTION AND EVALUATION CENTER	2003-08-10 11:23:16.927		0
3760	CHL	BRO	BROWN CREEK CORRECTION CENTER                     	2005-03-05 14:50:58.890		0
3761	CHL	BRS	AL BURRIS CORRECTIONAL INSTITUTION                	2005-03-05 14:50:58.890		0
3762	CHL	BTN	FCI BUTNER                                        	2005-03-05 14:50:58.890		0
3763	CHL	BUC	BUCKINGHAM CORRECTIONAL CENTER                    	2005-03-05 14:50:58.890		0
3764	CHL	BUL	BULLOCK COUNTY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
3765	CHL	BUR	BURKEVILLE                                        	2005-03-05 14:50:58.890		0
3766	CHL	BUT	LSCI BUTNER	2003-08-10 11:23:16.927		0
3767	CHL	BWN	BALDWIN CORRECTIONAL INSTITUTE                    	2005-03-05 14:50:58.890		0
3768	CHL	CAB	CABARRUS CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		0
3769	CHL	CAL	CALEDONIA CORRECTIONAL CORRECTIONS	2003-08-10 11:23:16.927		0
3770	CHL	CAM	C/O SCI CAMP HILL                                 	2005-03-05 14:50:58.890		0
3771	CHL	CAR	CAROLINE CORRECTIONAL UNIT NUMBER TWO             	2005-03-05 14:50:58.890		0
3772	CHL	CAS	CASWELL CORR CTR	2003-08-10 11:23:16.927		0
3773	CHL	CAT	CARTERET CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		0
3774	CHL	CAW	CATAWBA CORRECTIONAL CENTER                       	2005-03-05 14:50:58.890		0
3775	CHL	CCC	COLUMBUS CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		0
3776	CHL	CCI	CENTRAL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
3777	CHL	CEP	CENTRAL PRISON	2003-08-10 11:23:16.927		0
3778	CHL	CHA	CHARLOTTE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
3779	CHL	CHN	CALHOUN CORRECTIONAL INSTITUTION                  	2005-03-05 14:50:58.890		0
3780	CHL	CIR	CARROLL C.I.	2003-08-10 11:23:16.927		0
3781	CHL	CLA	CLAYTON COUNTY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
3782	CHL	COA	COASTAL CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
3783	CHL	COB	COBB COUNTY CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
3784	CHL	COL	COLUMBUS CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
3785	CHL	CRA	CRAGGY CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
3786	CHL	CRE	STATE CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		0
3787	CHL	CRO	CROSS ANCHOR CORR. INST                           	2005-03-05 14:50:58.890		0
3788	CHL	CTF	DC DOC, CORRECTIONAL TREATMENT FACILITY           	2005-03-05 14:50:58.890		0
3789	CHL	CUR	CURRITUK CORRECTIONAL CENTER                      	2005-03-05 14:50:58.890		0
3790	CHL	DAL	C/O WARDEN                                        	2005-03-05 14:50:58.890		0
3791	CHL	DAV	DAVIE CORRECTIONAL CENTER	2003-08-10 11:23:16.927		0
3792	CHL	DCH	DUTCHMAN CORRECTIONAL INSTITUTION	2003-08-10 11:23:16.927		0
3793	CHL	DCI	DODGE CORRECTIONAL INSTITUTE	2003-08-10 11:23:16.927		0
3794	CHL	DCJ	DC DEPARTMENT OF CORRECTIONS                      	2005-03-05 14:50:58.890		0
3795	CHL	DCT	DARE COUNTY DETENTION FACILITY                    	2005-03-05 14:50:58.890		0
3796	CHL	DEE	DEERFIELD CORRECTIONAL CENTER                     	2005-03-05 14:50:58.890		0
3797	CHL	DIL	DILLWYN CORRECTIONAL FACILITY                     	2005-03-05 14:50:58.890		0
3798	CHL	DKB	DEKALB COUNTY JAIL                                	2005-03-05 14:50:58.890		0
3799	CHL	DLY	DOOLY CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		0
3800	CHL	DMC	DEEP MEADOW CORRECTIONAL CENTER                   	2005-03-05 14:50:58.890		0
3801	CHL	DOD	DODGE CORRECTIONAL INSTITUTION                    	2005-03-05 14:50:58.890		0
3802	CHL	DPN	DUPLIN CORRECTIONAL CENTER                        	2005-03-05 14:50:58.890		0
3803	CHL	DPR	DRAPER CORRECTIONAL FACILITY	2003-08-10 11:23:16.927		0
